id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
51294,Boys,Accessories,Eyewear,Sunglasses,Black,Fall,2012.0,Casual,Hop Scotch Boys Black Sunglasses
37540,Boys,Accessories,Gloves,Gloves,Yellow,Summer,2012.0,Casual,Madagascar 3 Infant Boys Yellow Mittens
37541,Boys,Accessories,Gloves,Gloves,Blue,Summer,2012.0,Casual,Madagascar 3 Infant Boys Blue Mittens
37518,Boys,Accessories,Gloves,Gloves,Blue,Summer,2012.0,Casual,Madagascar 3 Infant Boys Blue Mittens
37519,Boys,Accessories,Gloves,Gloves,White,Summer,2012.0,Casual,Madagascar 3 Infant Boys White Mittens
37542,Boys,Accessories,Gloves,Gloves,White,Summer,2012.0,Casual,Madagascar 3 Infant Boys White Mittens
39107,Boys,Accessories,Headwear,Caps,Blue,Summer,2012.0,Sports,ADIDAS Mumbai Indians Boys Blue Match Cap
24656,Boys,Accessories,Socks,Socks,White,Fall,2011.0,Casual,ADIDAS Originals Boys White Pack of 3 Casual Socks
18531,Boys,Accessories,Watches,Watches,Orange,Winter,2016.0,Casual,Chhota Bheem Analog Kids-Boys Orange Watch
18526,Boys,Accessories,Watches,Watches,Green,Winter,2016.0,Casual,Chhota Bheem Analog Kids-Boys Green Watch
18525,Boys,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Chhota Bheem Digital Pop kids-Boys Blue Watch
18532,Boys,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Chhota Bheem Analog Kids-Boys Torquoise Blue Watch
51301,Boys,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Hop Scotch Boys Black Watch
36748,Boys,Apparel,Apparel Set,Clothing Set,Blue,Summer,2012.0,Casual,Mr.Men Boys Mr. Small Blue Clothing Set
35895,Boys,Apparel,Apparel Set,Clothing Set,Blue,Summer,2012.0,Casual,Jungle Book Boys Baby Blue Clothing Set
36747,Boys,Apparel,Apparel Set,Clothing Set,White,Summer,2012.0,Casual,Mr.Men Boys I Am Sleeping White Clothing Set
30717,Boys,Apparel,Apparel Set,Kurta Sets,Green,Summer,2012.0,Ethnic,Fabindia Boys Green Dhoti Angarakha Sets
30715,Boys,Apparel,Apparel Set,Kurta Sets,Blue,Summer,2012.0,Ethnic,Fabindia Boys Blue & Green Angarakha Dhoti Set
34053,Boys,Apparel,Bottomwear,Capris,Yellow,Summer,2012.0,Casual,Gini and Jony Boys Yellow 3/4 Length Pants
33278,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Gini and Jony Boys Washed Blue Jeans
31110,Boys,Apparel,Bottomwear,Jeans,Grey,Summer,2012.0,Casual,Gini and Jony Boys Washed Grey Jeans
41961,Boys,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Gini and Jony Boys Raw Wash Navy Blue Jeans
10671,Boys,Apparel,Bottomwear,Shorts,Green,Fall,2011.0,Casual,Doodle Boy Army  Green Shorts
38941,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Blue Shorts
33146,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Blue Shorts
40125,Boys,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Casual,Gini and Jony Boys Customised Black Shorts
38937,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Blue Shorts
